"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.420957125E0,-4.148178506E-1,8.634989735E-1,4.265736777E0,4.371980624E0
2.430937125E0,-1.529811234E-1,2.054577825E-1,4.544634345E0,4.551847697E0
2.440917125E0,-1.932358958E-1,-5.867342865E-1,4.598398324E0,4.639705204E0
2.450897125E0,-3.086408197E-1,-9.726894401E-1,4.617095965E0,4.728526097E0
2.460877125E0,-2.436457652E-1,-9.553004055E-1,4.476842312E0,4.584111605E0
2.470858125E0,2.329765335E-1,-1.140079656E0,4.215524982E0,4.373180828E0
2.480838125E0,9.702654038E-1,-1.658724103E0,3.859524273E0,4.311462422E0
2.490818125E0,1.524995211E0,-2.238461355E0,3.498319543E0,4.424314552E0
2.500798125E0,1.709086756E0,-2.570124052E0,3.099269294E0,4.374012499E0
2.510778125E0,1.550714043E0,-2.612176934E0,2.215608244E0,3.759933812E0
2.520759125E0,1.346057695E0,-2.513404306E0,6.622147143E-1,2.927046438E0
2.530739125E0,1.270931060E0,-2.245038157E0,-1.044104555E0,2.783094754E0
2.540719125E0,1.233451285E0,-1.864647543E0,-2.405451549E0,3.283977723E0
2.550699125E0,1.321472053E0,-1.434759225E0,-3.232270061E0,3.775234055E0
2.560679125E0,1.454530708E0,-1.060978011E0,-3.406801262E0,3.853262094E0
2.570660125E0,1.444280539E0,-7.936414111E-1,-3.301456071E0,3.689908556E0
2.580640125E0,1.301620902E0,-6.104243538E-1,-2.993629988E0,3.320941940E0
2.590620125E0,1.137249604E0,-4.000721594E-1,-2.379730816E0,2.667679357E0
2.600600125E0,9.667687688E-1,-2.260103801E-1,-1.647715550E0,1.923717515E0
2.610580125E0,8.765797066E-1,-9.104637366E-2,-1.241576722E0,1.522561716E0
2.620560125E0,7.876519619E-1,2.678360984E-2,-1.187456648E0,1.425189905E0
2.630541125E0,4.863129989E-1,6.455073919E-2,-1.361742851E0,1.447415186E0
2.640521125E0,7.195300357E-2,4.511013586E-2,-1.580417606E0,1.582697687E0
2.650501125E0,-2.198271323E-1,4.375990413E-2,-1.790702192E0,1.804675383E0
2.660481125E0,-3.842452450E-1,1.318871650E-1,-1.944705573E0,1.986685279E0
2.670461125E0,-4.910686856E-1,2.233217938E-1,-2.159014213E0,2.225390629E0
2.680442125E0,-5.505494137E-1,2.500893238E-1,-2.554275466E0,2.624875708E0
2.690422125E0,-5.890398436E-1,2.812588204E-1,-2.905511863E0,2.977931102E0
2.700402125E0,-6.821602978E-1,2.748272852E-1,-3.155232995E0,3.239809865E0
2.710382125E0,-6.660852787E-1,3.593715551E-1,-3.375440306E0,3.459250609E0
2.720362125E0,-5.002257176E-1,3.888319471E-1,-3.477539708E0,3.534784077E0
2.730343125E0,-2.812475828E-1,4.596008347E-1,-3.477287108E0,3.518786547E0
2.740323125E0,-3.381665910E-1,5.662670948E-1,-3.516257046E0,3.577580004E0
2.750303125E0,-4.881278650E-1,5.549043468E-1,-3.557113296E0,3.633076197E0
2.760283125E0,-5.277599273E-1,4.967290827E-1,-3.344405040E0,3.422033809E0
2.770263125E0,-5.581197307E-1,3.924067521E-1,-3.253577315E0,3.324341444E0
2.780243125E0,-5.833137384E-1,3.317603084E-1,-3.343272434E0,3.409954602E0
2.790224125E0,-6.311873415E-1,3.024140101E-1,-3.254583036E0,3.328988200E0
2.800204125E0,-4.366623174E-1,3.080624935E-1,-2.931974607E0,2.980277097E0
2.810184125E0,-2.756490017E-1,2.549875363E-1,-2.340272636E0,2.370206115E0
2.820164125E0,-3.256671442E-1,1.572911609E-1,-1.622129889E0,1.661958174E0
2.830144125E0,-2.782368698E-1,1.123118930E-1,-9.964918470E-1,1.040685216E0
2.840125125E0,-2.435577829E-1,2.253623259E-1,-4.373261225E-1,5.489651255E-1
2.850105125E0,-9.199502958E-2,4.879332624E-1,9.586919367E-2,5.057003622E-1
2.860085125E0,1.034019971E-1,7.656105170E-1,6.980148768E-1,1.041189803E0
2.870065125E0,2.934986873E-1,8.821105148E-1,1.096892048E0,1.437856949E0
2.880045125E0,4.511820136E-1,8.489065160E-1,1.100845351E0,1.461529325E0
2.890025125E0,6.424329990E-1,7.706131755E-1,1.078646396E0,1.473106538E0
2.900006125E0,8.869439694E-1,5.746809823E-1,1.404399458E0,1.757630699E0
2.909986125E0,1.056456213E0,2.569709850E-1,2.215225251E0,2.467662200E0
2.919966125E0,1.100887304E0,1.065792828E-1,3.594910283E0,3.761208841E0
2.929946125E0,7.738444930E-1,2.440946121E-1,4.913441041E0,4.979992002E0
2.939926125E0,7.239852486E-2,9.080910096E-1,5.298470836E0,5.376212796E0
2.949907125E0,-4.037487790E-1,1.992677885E0,4.157769694E0,4.628263935E0
2.959887125E0,-1.745310184E-1,2.715667389E0,2.448498166E0,3.660663015E0
2.969867125E0,2.736779784E-1,3.044474744E0,1.821505909E0,3.558315596E0
2.979847125E0,3.271723272E-1,3.244684870E0,2.600073783E0,4.170779940E0
2.989827125E0,-6.697702305E-2,2.912537878E0,3.975342413E0,4.928560653E0
2.999807125E0,-5.342707653E-1,1.733656464E0,4.941164444E0,5.263659948E0
3.009788125E0,-8.956928658E-1,2.081619370E-1,5.623023464E0,5.697717962E0
3.019768125E0,-1.011906204E0,-1.132564010E0,6.331630572E0,6.511236527E0
3.029748125E0,-8.963435148E-1,-2.362399377E0,6.951131961E0,7.396120473E0
3.039728125E0,-7.422971566E-1,-3.264245560E0,7.073220069E0,7.825391127E0
3.049708125E0,-7.465967605E-1,-3.429047579E0,6.122033619E0,7.056562169E0
3.059689125E0,-8.488372996E-1,-2.930266051E0,4.137670475E0,5.140749055E0
3.069669125E0,-8.638900061E-1,-2.262413159E0,1.938040332E0,3.101744601E0
3.079649125E0,-6.959968565E-1,-1.793317213E0,-1.483964860E-1,1.929357346E0
3.089629125E0,-6.242800988E-1,-1.473060680E0,-1.678599958E0,2.318907335E0
3.099609125E0,-6.823056011E-1,-1.175757466E0,-2.298298983E0,2.670229347E0
3.109589125E0,-8.030799135E-1,-1.060873565E0,-2.256759778E0,2.619800520E0
3.119570125E0,-8.808521209E-1,-1.206577408E0,-2.130052954E0,2.601702344E0
3.129550125E0,-9.510635861E-1,-1.495871838E0,-2.115037304E0,2.759626297E0
